第1页

1. 您在手机上**使用过**以下哪些**AI大模型**产品？
选项,百分比%,小计
**豆包**,92.4%,1558
**DeepSeek**,92.6%,1561
**元宝**,71.4%,1204
以上我都没有使用过,0.0%,0
有效填写量,,1686

第2页

2. 您是在什么时候**首次下载**该产品的？
问题,1 个月以内,1-3个月,3-6个月,半年以上
**豆包**,153,158,204,1043
**DeepSeek**,163,193,227,978
**元宝**,155,224,271,554
有效填写量,1686

第3页

3. **最近一个月，**您使用以下产品的**频率**是？
问题,一周1-2次,一周3-5次,几乎每天一次
**豆包**,323,476,759
**DeepSeek**,718,492,351
**元宝**,632,347,225
有效填写量,1686

4. **最近一个月，**您**每天**使用以下产品的**时长**是？
问题,3分钟以内,3-10分钟,10-30分钟,30分钟以上
**豆包**,167,490,484,417
**DeepSeek**,467,450,378,266
**元宝**,456,325,260,163
有效填写量,1686

5. **最近一个月**，您**每天**使用**DeepSeek**的**时长**有什么变化？
选项,百分比%,小计
每天使用的时间变长了,35.4%,552
每天使用的时间变短了,29.8%,465
没有变化,32.4%,506
不清楚/不知道,2.4%,38
有效填写量,,1561

第4页

6. 您**每天使用DeepSeek**的**时长变长，**体现在哪些方面？
选项,百分比%,小计
对话轮次变多了：会连续和DeepSeek聊更久,60.0%,331
任务耗时变长了：比如写长文、分析复杂问题、反复修改内容,60.5%,334
使用频率变高了：现在遇到问题更习惯第一时间用DeepSeek,73.6%,406
其他____{fillblank-afe7},0.5%,3
有效填写量,,552

7. **最近一个月**，您使用**DeepSeek**的**时间变长**的主要原因是？
选项,百分比%,小计
觉得DeepSeek的能力提升了,35.0%,193
我最近有更多学习/工作任务需要用 AI,56.2%,310
身边人推荐或讨论变多了,8.2%,45
其他____{fillblank-f231},0.7%,4
有效填写量,,552

第5页

8. 您觉得**DeepSeek**的哪些能力提升了？
选项,百分比%,小计
长文写作/长内容能力提升了,65.3%,126
推理、分析、规划能力提升了,69.9%,135
记忆能力变强了：多轮对话中更能记住前文,55.4%,107
情商变高了：更能够理解用户情绪,50.3%,97
其他____{fillblank-b43a},0.0%,0
有效填写量,,193

9. 您在使用**DeepSeek**时，**最常使用的三个场景是？**
选项,百分比%,小计
搜索、知识问答场景,70.0%,1092
写小说/写论文等文本创作场景,29.1%,454
闲聊/情感陪伴场景,21.7%,338
角色扮演场景,8.4%,131
Excel处理、深度研究等办公场景,43.3%,676
拍照答疑/作业批改等学习教育场景,44.0%,687
代码生成场景,14.4%,225
算命/占卜类场景,11.9%,185
其他____{fillblank-9da1},0.6%,9
有效填写量,,1561

10. 最近一个月，您**使用DeepSeek**的**时间变短**的主要原因是？
选项,百分比%,小计
缺少我需要的功能：如生成PPT等,26.2%,122
觉得DeepSeek模型能力变弱了,33.3%,155
对产品功能不满意：如功能不好用等,20.6%,96
不知道能在什么场景使用,10.5%,49
其他____{fillblank-b95a},9.2%,43
有效填写量,,465

11. 您觉得** DeepSeek** 的哪些**能力变弱**了？
选项,百分比%,小计
长文写作/长内容处理能力变弱了,42.6%,66
推理、分析、规划能力变弱了,52.9%,82
记忆能力变弱了：多轮对话中更容易忘记前文,39.4%,61
情商变低了：更难理解用户情绪,44.5%,69
其他____{fillblank-3150},1.3%,2
有效填写量,,155

第6页

12. 您使用**DeepSeek写小说/角色扮演**的**主要目的**是？
选项,百分比%,小计
自娱自乐，自己看着玩,36.6%,198
商业用途，用于网文/短剧/IP创作等,12.4%,67
工作需要，比如内容策划、编剧、运营,50.6%,274
其他____{fillblank-2a31},0.4%,2
有效填写量,,541

第7页

13. 您在使用**豆包**时，**最常使用的三个场景是？**
选项,百分比%,小计
搜索、知识问答场景,61.5%,958
写小说/写论文等文本创作场景,21.9%,341
闲聊/情感陪伴场景,29.3%,457
角色扮演场景,8.9%,139
Excel处理、深度研究等办公场景,28.4%,442
拍照答疑/作业批改等学习教育场景,41.9%,653
生图/P图/生视频场景,43.2%,673
打电话场景,9.3%,145
代码生成场景,8.6%,134
算命/占卜类场景,9.4%,147
其他____{fillblank-9da1},0.2%,3
有效填写量,,1558

第8页

14. 和**豆包**相比，您觉得**DeepSeek**有什么**优点更吸引您**？
选项,百分比%,小计
长内容处理能力更强，更适合写作、总结等任务,53.3%,769
推理、分析、规划能力更强,48.9%,705
记忆能力更强，多轮对话中更能记住前文,38.3%,552
情商更高，更能够理解用户情绪和表达需求,30.4%,438
写作风格更符合我的需求,23.9%,345
更喜欢豆包，DS 没有明显更吸引我的地方,12.6%,182
其他____{fillblank-7306},2.1%,30
有效填写量,,1443

15. 您在使用**元宝**时，**最常使用的三个场景是？**
选项,百分比%,小计
搜索、知识问答场景,54.9%,661
写小说/写论文等文本创作场景,21.6%,260
闲聊/情感陪伴场景,24.4%,294
角色扮演场景,11.8%,142
Excel处理、深度研究等办公场景,27.8%,335
拍照答疑/作业批改等学习教育场景,37.8%,455
生图/P图/生视频场景,34.4%,414
打电话场景,9.6%,115
代码生成场景,9.5%,114
选项,5.3%,64
其他____{fillblank-9da1},1.1%,13
有效填写量,,1204

16. 和**元宝**相比，您觉得**DeepSeek**有什么**优点更吸引您**？
选项,百分比%,小计
长内容处理能力更强，更适合写作、总结等任务,52.8%,601
推理、分析、规划能力更强,47.8%,544
记忆能力更强，多轮对话中更能记住前文,40.2%,458
情商更高，更能够理解用户情绪和表达需求,30.6%,348
写作风格更符合我的需求,27.0%,308
更喜欢元宝，DS 没有明显更吸引我的地方,7.5%,85
其他____{fillblank-7306},1.9%,22
有效填写量,,1139

第9页

17. 您的年龄是？
选项,百分比%,小计
19-25岁,21.9%,370
26-30岁,24.4%,411
31-35岁,18.6%,313
36-40岁,11.8%,199
41-45岁,8.7%,146
46-50岁,5.8%,98
50岁以上,8.8%,149
有效填写量,,1686

18. 您的性别是？
选项,百分比%,小计
男,46.0%,775
女,54.0%,911
有效填写量,,1686

19. 到目前为止，您的**最高学历(包括在读)**是？
选项,百分比%,小计
初中及以下,2.6%,43
高中/中专/技校,8.2%,138
大学专科,21.2%,358
大学本科,60.4%,1019
硕士及以上,7.6%,128
有效填写量,,1686

20. 您目前的**职业**是？
选项,百分比%,小计
在校学生,11.8%,199
政府/机关干部/公务员,6.5%,110
企业管理者（包括基层及中高层管理者）,13.6%,229
普通职员（办公室/写字楼工作人员）,34.4%,580
专业人员（如医生/律师/文体/记者/老师等）,11.4%,193
普通工人（如工厂工人/体力劳动者等）,3.9%,66
商业服务业职工（如销售人员/商店职员/服务员等）,2.3%,38
个体经营者/承包商,2.2%,37
自由职业者,9.6%,162
农林牧渔劳动者,0.3%,5
退休,1.8%,30
暂无职业,1.8%,31
其他______,0.4%,6
有效填写量,,1686

21. 您所在的地区是？
备注：统计分析导出不支持该题型，请导出原始数据查看

